session,session_type,session_hour,session_quality,avg_hr,min_hr,max_hr,avg_hr_pct,min_hr_pct,max_hr_pct,exercise_duration,training_load,training_intensity,epoc_total,epoc_peak,aerobic_te_value,aerobic_te_comment,anaerobic_te_value,anaerobic_te_comment,ee_men,vo2,vo2_max,movement_load,movement_load_intensity,zone_0_d,zone_0_pct,zone_1_d,zone_1_pct,zone_2_d,zone_2_pct,zone_3_d,zone_3_pct,zone_4_d,zone_4_pct,zone_5_d,zone_5_pct,rest_hr,hr_std,sdnn,rmssd,pnn50,hr_recovery_60s,recovery_beats,acute_load,chronic_load,acwr
20250112_014833,Training,1,100,78.22,57.6,125.79,34.01,25.05,54.69,100.35,125.116,1.246,92.05,1.45,2.33,Maintaining,0.63,No Effect,341.25,21.06,46.81,33.63,0.34,5268000.0,87.45,438000.0,7.27,132000.0,2.19,66000.0,1.1,39000.0,0.65,81000.0,1.34,,,,,,,,136.32,134.305,1.015
20250112_223903,Readiness,22,100,48.61,40.0,71.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,9.3,218.12,124.05,43.97,0.0,16.5,143.615,134.305,1.069
20250113_111853,Training,11,100,122.05,74.34,219.78,53.07,32.32,95.56,133.75,217.534,1.626,266.29,2.54,4.97,Highly Improving,0.45,No Effect,1339.1,33.77,63.64,48.13,0.36,6774000.0,84.38,738000.0,9.19,429000.0,5.34,81000.0,1.01,3000.0,0.04,3000.0,0.04,,,,,,,,151.007,141.241,1.069
20250113_223801,Readiness,22,100,52.81,41.6,74.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,8.06,173.55,126.63,62.71,0.0,20.1,159.187,141.241,1.127
20250113_233326,Training,23,100,84.95,60.17,137.73,36.94,26.16,59.88,94.5,114.322,1.209,105.12,1.79,2.85,Maintaining,0.56,No Effect,417.28,19.38,43.07,29.32,0.31,4584000.0,80.8,420000.0,7.4,396000.0,6.98,198000.0,3.49,63000.0,1.11,12000.0,0.21,,,,,,,,154.7,139.17,1.112
20250114_113330,Training,11,100,115.44,75.4,173.86,50.19,32.78,75.59,114.85,176.695,1.538,231.8,2.83,4.92,Highly Improving,0.79,No Effect,1035.4,28.83,57.44,39.79,0.35,4347000.0,63.05,891000.0,12.92,825000.0,11.97,624000.0,9.05,195000.0,2.83,12000.0,0.17,,,,,,,,154.944,141.85,1.092
20250114_224333,Readiness,22,100,55.58,45.34,77.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.34,7.44,168.61,155.98,64.96,0.0,26.9,154.944,141.85,1.092
20250116_030217,Readiness,3,100,61.74,50.51,102.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51,9.27,140.02,130.63,49.57,0.0,35.7,160.926,141.85,1.134
20250116_113610,Training,11,100,120.93,78.47,196.88,52.58,34.12,85.6,157.25,207.414,1.319,584.87,4.77,5.0,Overloading,0.74,No Effect,1547.72,30.5,58.01,53.05,0.34,7272000.0,77.05,1065000.0,11.28,588000.0,6.23,339000.0,3.59,132000.0,1.4,42000.0,0.45,,,,,,,,166.737,146.221,1.14
20250116_222248,Readiness,22,100,55.3,42.58,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.58,7.72,167.6,117.6,59.83,0.0,15.5,166.737,146.221,1.14
20250116_231709,Training,23,100,91.41,61.43,143.05,39.74,26.71,62.2,109.1,148.341,1.359,242.44,3.2,4.94,Highly Improving,0.78,No Effect,587.99,23.83,52.95,36.12,0.33,5064000.0,77.32,585000.0,8.93,429000.0,6.55,288000.0,4.4,147000.0,2.24,36000.0,0.55,,,,,,,,164.693,146.354,1.125
20250117_112317,Training,11,100,90.72,70.77,187.64,39.44,30.77,81.58,64.6,67.744,1.048,11.52,0.21,0.33,No Effect,0.38,No Effect,341.53,26.76,59.46,18.44,0.29,3810000.0,98.22,42000.0,1.08,9000.0,0.23,12000.0,0.31,0.0,0.0,6000.0,0.15,,,,,,,,168.025,141.73,1.186
20250117_214557,Readiness,21,100,54.68,43.97,80.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.97,9.04,175.2,146.64,67.24,0.0,28.9,168.025,141.73,1.186
20250117_231606,Training,23,100,122.15,73.75,187.45,53.11,32.07,81.5,201.5,329.918,1.637,1230.1,7.29,5.0,Overloading,1.16,Minor Effect,2020.08,31.03,58.43,70.47,0.35,8586000.0,71.0,1416000.0,11.71,1116000.0,9.23,429000.0,3.55,276000.0,2.28,270000.0,2.23,,,,,,,,186.013,152.185,1.222
20250119_031129,Readiness,3,100,62.5,49.2,72.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2,6.25,109.88,78.73,42.02,0.0,16.3,180.281,152.185,1.185
20250119_222213,Readiness,22,100,51.24,41.54,72.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.54,7.91,172.62,116.21,63.87,0.0,30.5,180.281,152.185,1.185
20250119_234928,Training,23,100,88.48,67.42,131.36,38.47,29.31,57.11,85.6,119.488,1.395,99.68,1.12,2.59,Maintaining,0.45,No Effect,423.62,19.72,43.83,28.75,0.34,4503000.0,87.62,372000.0,7.24,147000.0,2.86,93000.0,1.81,21000.0,0.41,3000.0,0.06,,,,,,,,172.682,150.464,1.148
20250120_111127,Training,11,100,121.48,79.73,230.0,52.82,34.67,100.0,181.7,262.484,1.444,162.53,0.9,4.37,Highly Improving,0.39,No Effect,1803.35,34.33,65.0,61.0,0.34,10104000.0,92.65,624000.0,5.72,168000.0,1.54,3000.0,0.03,3000.0,0.03,3000.0,0.03,,,,,,,,182.66,156.065,1.17
20250120_222005,Readiness,22,100,70.25,63.62,78.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.62,3.61,62.2,71.37,12.61,0.0,10.5,178.301,156.065,1.142
20250120_235021,Training,23,100,85.03,67.53,151.51,36.97,29.36,65.88,61.95,72.233,1.165,18.11,0.26,0.4,No Effect,0.37,No Effect,274.36,23.38,51.95,19.5,0.31,3696000.0,99.35,21000.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.08,,,,,,,,173.04,152.073,1.138
20250121_084051,Readiness,8,100,74.02,68.23,90.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.23,4.53,55.26,51.18,8.47,0.0,17.8,173.04,152.073,1.138
20250121_120950,Training,12,100,82.22,63.51,131.53,35.75,27.61,57.19,59.0,78.885,1.336,47.21,0.54,0.88,No Effect,0.57,No Effect,236.25,21.52,47.83,21.13,0.36,3354000.0,94.67,87000.0,2.46,12000.0,0.34,27000.0,0.76,36000.0,1.02,27000.0,0.76,,,,,,,,160.813,148.746,1.081
20250122_041516,Readiness,4,100,59.37,46.98,74.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.98,6.8,142.67,113.75,54.7,0.0,10.0,160.813,148.746,1.081
20250122_113437,Training,11,100,136.33,80.95,186.6,59.27,35.2,81.13,123.0,212.506,1.727,724.24,5.41,5.0,Overloading,1.73,Minor Effect,1496.38,32.78,55.3,49.01,0.4,2964000.0,40.15,1788000.0,24.22,1257000.0,17.03,600000.0,8.13,603000.0,8.17,171000.0,2.32,,,,,,,,166.557,151.518,1.099
20250123_013906,Readiness,1,100,54.71,43.54,79.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54,9.16,187.49,144.21,62.18,0.0,35.3,166.557,151.518,1.099
20250123_105014,Training,10,100,107.72,72.64,228.14,46.84,31.58,99.19,204.75,224.394,1.096,138.67,0.97,3.87,Improving,0.39,No Effect,1607.06,30.96,66.1,59.78,0.29,11679000.0,95.04,432000.0,3.52,156000.0,1.27,18000.0,0.15,0.0,0.0,3000.0,0.02,,,,,,,,172.341,154.555,1.115
20250123_221952,Readiness,22,100,58.14,40.17,87.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.17,11.99,234.92,166.86,61.86,0.0,36.6,168.444,154.555,1.09
20250124_113255,Training,11,100,79.84,62.08,187.35,34.71,26.99,81.46,62.25,78.914,1.267,1.45,0.05,0.25,No Effect,0.37,No Effect,226.92,25.51,56.69,19.84,0.32,3732000.0,99.84,3000.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.08,,,,,,,,172.353,151.529,1.137
20250124_212826,Readiness,21,100,51.37,40.8,77.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,9.91,192.34,113.17,57.98,0.0,29.1,172.353,151.529,1.137
20250124_234934,Training,23,100,121.18,80.56,178.88,52.69,35.02,77.77,183.85,272.364,1.481,935.92,5.81,5.0,Overloading,0.93,No Effect,1816.26,30.54,57.97,58.78,0.32,8130000.0,73.68,1479000.0,13.4,717000.0,6.5,366000.0,3.32,207000.0,1.88,135000.0,1.22,,,,,,,,165.158,156.177,1.058
20250126_035811,Readiness,3,100,53.95,41.17,84.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.17,12.15,224.78,135.34,61.54,0.0,32.2,165.158,156.177,1.058
20250126_222029,Readiness,22,100,51.37,43.02,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.02,9.23,183.66,106.79,55.83,0.0,29.5,165.158,156.177,1.058
20250126_231127,Training,23,100,85.98,59.01,127.66,37.38,25.66,55.5,131.1,229.1,1.747,467.78,3.8,5.0,Overloading,0.71,No Effect,599.1,23.16,51.46,50.99,0.39,5487000.0,69.73,1446000.0,18.38,543000.0,6.9,240000.0,3.05,123000.0,1.56,30000.0,0.38,,,,,,,,172.263,158.877,1.084
20250127_111535,Training,11,100,114.38,76.25,182.58,49.73,33.15,79.38,180.75,224.668,1.243,682.18,5.33,5.0,Overloading,0.84,No Effect,1600.36,28.61,57.52,57.56,0.32,8913000.0,82.16,801000.0,7.38,435000.0,4.01,432000.0,3.98,156000.0,1.44,111000.0,1.02,,,,,,,,174.133,161.227,1.08
20250127_222819,Readiness,22,100,56.87,45.01,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.01,10.24,185.6,137.27,71.79,0.0,28.6,174.133,161.227,1.08
20250127_232632,Training,23,100,78.01,59.16,123.61,33.92,25.72,53.74,94.75,111.827,1.18,86.81,1.1,2.1,Maintaining,0.47,No Effect,319.18,21.01,46.69,28.71,0.3,4884000.0,85.86,300000.0,5.27,306000.0,5.38,159000.0,2.8,36000.0,0.63,3000.0,0.05,,,,,,,,167.21,159.524,1.048
20250128_121418,Training,12,100,119.89,77.87,173.47,52.13,33.86,75.42,53.7,97.249,1.809,101.19,1.93,2.71,Maintaining,0.52,No Effect,520.38,25.37,48.67,21.57,0.4,1854000.0,57.49,462000.0,14.33,597000.0,18.51,285000.0,8.84,18000.0,0.56,9000.0,0.28,,,,,,,,181.378,157.448,1.152
20250129_011942,Readiness,1,100,53.78,43.46,83.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.46,10.1,191.58,142.94,62.39,0.0,23.0,181.378,157.448,1.152
20250129_111018,Training,11,100,107.2,68.96,187.31,46.61,29.98,81.44,95.1,117.807,1.238,135.48,2.29,3.86,Improving,0.56,No Effect,739.2,24.9,53.42,31.25,0.33,4821000.0,84.45,468000.0,8.2,258000.0,4.52,99000.0,1.73,48000.0,0.84,15000.0,0.26,,,,,,,,174.314,156.169,1.116
20250129_131934,Training,13,100,125.7,92.32,177.0,54.65,40.14,76.96,20.5,35.599,1.732,18.15,0.67,0.41,No Effect,0.95,No Effect,216.98,27.27,49.9,5.46,0.27,903000.0,73.24,126000.0,10.22,105000.0,8.52,36000.0,2.92,42000.0,3.41,21000.0,1.7,,,,,,,,154.658,152.401,1.015
20250130_015824,Readiness,1,100,60.27,48.8,97.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,10.7,166.84,108.75,50.0,0.0,37.2,154.658,152.401,1.015
20250130_222241,Readiness,22,100,50.68,40.33,72.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.33,9.68,208.97,142.95,52.59,0.0,23.4,145.941,153.635,0.95
20250130_231752,Training,23,100,81.75,60.18,130.17,35.54,26.17,56.6,129.75,157.729,1.215,155.4,1.4,4.27,Highly Improving,0.58,No Effect,510.2,20.51,45.57,40.52,0.31,6741000.0,86.56,441000.0,5.66,297000.0,3.81,183000.0,2.35,93000.0,1.19,33000.0,0.42,,,,,,,,147.251,153.763,0.958
20250201_011929,Readiness,1,100,52.34,43.78,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.78,7.3,160.57,131.18,62.61,0.0,12.8,139.14,153.763,0.905
20250201_114212,Training,11,100,127.57,105.73,182.14,55.47,45.97,79.19,84.0,97.262,1.157,61.85,0.64,1.25,Minor Effect,0.93,No Effect,911.09,30.05,54.18,19.75,0.24,4233000.0,83.94,273000.0,5.41,150000.0,2.97,138000.0,2.74,150000.0,2.97,99000.0,1.96,,,,,,,,133.905,152.051,0.881
20250202_021623,Readiness,2,100,62.8,53.26,82.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.26,6.63,101.81,64.88,43.22,0.0,25.8,133.905,152.051,0.881
20250203_025229,Readiness,2,100,56.73,47.91,78.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.91,7.79,144.95,114.12,54.7,0.0,3.9,120.306,154.594,0.778
20250203_224424,Readiness,22,100,46.83,40.0,70.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,8.94,200.65,116.86,63.03,0.0,28.1,102.912,157.085,0.655
20250204_114106,Training,11,100,79.07,55.82,119.11,34.38,24.27,51.79,26.25,39.944,1.519,19.36,0.7,0.43,No Effect,0.44,No Effect,92.74,20.26,45.02,9.96,0.38,1179000.0,74.71,183000.0,11.6,162000.0,10.27,45000.0,2.85,6000.0,0.38,3000.0,0.19,,,,,,,,90.932,152.752,0.595
20250204_222217,Readiness,22,100,46.53,40.53,68.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.53,6.46,161.01,138.3,66.1,0.0,25.0,89.668,152.752,0.587
20250204_232337,Training,23,100,76.6,47.26,144.25,33.3,20.55,62.72,106.0,120.691,1.138,115.22,1.44,3.18,Improving,0.58,No Effect,334.42,21.15,46.99,33.57,0.32,5544000.0,87.13,366000.0,5.75,255000.0,4.01,99000.0,1.56,57000.0,0.9,42000.0,0.66,,,,,,,,94.839,151.75,0.625
20250205_114126,Training,11,100,115.39,74.51,191.92,50.17,32.39,83.44,72.0,79.936,1.109,54.08,1.3,1.08,Minor Effect,1.69,Minor Effect,648.66,25.28,50.38,18.92,0.26,3168000.0,73.28,156000.0,3.61,165000.0,3.82,333000.0,7.7,351000.0,8.12,150000.0,3.47,,,,,,,,88.527,149.818,0.591
20250206_004044,Readiness,0,100,54.48,42.2,74.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,9.58,195.67,129.16,62.93,0.0,24.2,99.112,150.433,0.659
20250206_221943,Readiness,22,100,47.61,40.0,75.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,8.77,199.73,127.11,57.26,0.0,35.4,99.112,150.433,0.659
20250206_231915,Training,23,100,70.76,52.28,113.96,30.76,22.73,49.55,31.75,47.058,1.48,12.16,0.44,0.34,No Effect,0.41,No Effect,72.28,20.13,44.74,11.98,0.38,1737000.0,91.04,108000.0,5.66,42000.0,2.2,15000.0,0.79,3000.0,0.16,3000.0,0.16,,,,,,,,76.978,147.098,0.523
20250206_235241,Training,23,100,104.64,57.96,178.04,45.5,25.2,77.41,78.9,112.489,1.425,170.26,2.36,4.53,Highly Improving,0.57,No Effect,582.86,24.98,54.91,29.58,0.37,3411000.0,72.01,576000.0,12.16,477000.0,10.07,216000.0,4.56,48000.0,1.01,9000.0,0.19,,,,,,,,82.897,146.374,0.566
20250207_111426,Training,11,100,96.6,69.75,196.97,42.0,30.33,85.64,78.15,86.739,1.109,15.92,0.34,0.38,No Effect,0.38,No Effect,482.51,24.49,54.43,20.25,0.26,4437000.0,94.57,186000.0,3.96,57000.0,1.21,6000.0,0.13,3000.0,0.06,3000.0,0.06,,,,,,,,83.446,144.511,0.577
20250207_221935,Readiness,22,100,54.68,40.46,82.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46,12.42,238.39,141.41,61.54,0.0,36.1,83.446,146.887,0.568
20250207_232319,Training,23,100,116.46,62.6,171.6,50.63,27.22,74.61,164.75,250.022,1.517,1023.23,7.61,5.0,Overloading,1.87,Minor Effect,1510.21,28.29,55.87,62.08,0.38,5097000.0,51.55,1563000.0,15.81,1044000.0,10.56,1116000.0,11.29,696000.0,7.04,372000.0,3.76,,,,,,,,104.268,150.11,0.695
20250209_012810,Readiness,1,100,54.15,43.72,78.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.72,9.22,188.53,116.55,59.32,0.0,12.6,105.268,145.693,0.723
20250209_221928,Readiness,22,100,53.71,41.79,91.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.79,13.34,244.76,122.65,49.58,0.0,39.4,105.268,146.379,0.719
20250209_231801,Training,23,100,74.32,51.17,128.69,32.32,22.25,55.95,126.75,208.916,1.648,167.02,1.68,4.47,Highly Improving,0.49,No Effect,356.44,21.36,47.46,46.97,0.37,6894000.0,90.62,480000.0,6.31,144000.0,1.89,39000.0,0.51,30000.0,0.39,21000.0,0.28,,,,,,,,118.224,148.396,0.797
20250210_111852,Training,11,100,116.63,73.88,183.34,50.71,32.12,79.71,165.85,254.893,1.536,650.91,4.75,5.0,Overloading,0.85,No Effect,1524.64,28.11,55.43,57.83,0.35,7749000.0,77.85,1002000.0,10.07,582000.0,5.85,342000.0,3.44,192000.0,1.93,87000.0,0.87,,,,,,,,133.41,151.724,0.879
20250210_221434,Readiness,22,100,50.34,40.84,74.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.84,9.07,198.41,134.27,60.0,0.0,26.8,133.41,149.601,0.892
20250210_235324,Training,23,100,81.33,63.27,135.13,35.36,27.51,58.75,50.35,72.365,1.436,19.83,0.4,0.42,No Effect,0.38,No Effect,194.94,20.55,45.66,16.23,0.32,2838000.0,93.85,114000.0,3.77,45000.0,1.49,24000.0,0.79,0.0,0.0,3000.0,0.1,,,,,,,,127.305,148.248,0.859
20250213_002707,Readiness,0,100,52.6,40.21,72.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.21,8.58,191.35,124.61,62.71,0.0,8.1,147.497,147.299,1.001
20250213_223242,Readiness,22,100,45.53,40.0,67.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,6.68,168.94,103.58,50.0,0.0,23.0,147.497,145.226,1.016
20250214_000847,Training,0,100,77.65,60.23,165.11,33.76,26.18,71.79,65.65,81.685,1.243,10.0,0.21,0.32,No Effect,0.38,No Effect,217.64,24.4,54.22,19.92,0.3,3924000.0,99.54,6000.0,0.15,6000.0,0.15,0.0,0.0,0.0,0.0,6000.0,0.15,,,,,,,,159.103,142.928,1.113
20250214_114434,Training,11,100,83.59,61.91,109.91,36.34,26.92,47.79,20.6,29.026,1.406,18.02,0.87,0.42,No Effect,0.95,No Effect,86.89,18.57,41.27,7.39,0.36,795000.0,64.16,198000.0,15.98,120000.0,9.69,63000.0,5.08,27000.0,2.18,36000.0,2.91,,,,,,,,149.484,141.593,1.056
20250214_221943,Readiness,22,100,57.78,43.74,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.74,9.96,198.96,118.07,52.99,0.0,14.2,149.484,141.593,1.056
20250214_232953,Training,23,100,78.92,56.91,136.59,34.31,24.74,59.39,118.65,137.959,1.162,96.4,1.66,2.51,Maintaining,0.73,No Effect,416.0,22.57,50.15,32.14,0.27,6384000.0,89.64,285000.0,4.0,138000.0,1.94,114000.0,1.6,111000.0,1.56,90000.0,1.26,,,,,,,,130.807,134.974,0.969
20250216_043238,Readiness,4,100,59.22,46.41,82.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.41,8.58,146.07,104.12,55.93,0.0,37.7,130.807,134.974,0.969
20250216_224457,Readiness,22,100,48.42,40.0,69.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,9.08,214.92,127.98,50.85,0.0,29.2,130.807,134.974,0.969
20250216_235301,Training,23,100,70.86,52.17,103.39,30.81,22.68,44.95,83.6,124.055,1.483,164.74,1.52,4.43,Highly Improving,0.54,No Effect,191.42,19.61,43.57,30.44,0.36,3960000.0,78.9,585000.0,11.66,303000.0,6.04,111000.0,2.21,33000.0,0.66,27000.0,0.54,,,,,,,,116.664,135.131,0.863
20250217_115335,Training,11,100,111.92,77.03,183.45,48.66,33.49,79.76,105.15,145.954,1.387,161.03,1.35,4.36,Highly Improving,0.46,No Effect,892.17,28.05,57.64,33.07,0.31,4590000.0,72.72,555000.0,8.79,795000.0,12.6,339000.0,5.37,21000.0,0.33,12000.0,0.19,,,,,,,,98.507,131.113,0.751
20250217_224446,Readiness,22,100,54.07,41.87,104.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.87,15.39,242.55,152.78,67.52,0.0,58.5,98.507,131.113,0.751
20250217_235407,Training,23,100,66.26,47.28,132.73,28.81,20.56,57.71,65.85,84.366,1.28,17.95,0.37,0.4,No Effect,0.38,No Effect,105.14,22.55,50.1,23.59,0.36,3870000.0,97.88,69000.0,1.75,6000.0,0.15,6000.0,0.15,0.0,0.0,3000.0,0.08,,,,,,,,100.508,131.531,0.764
20250218_113055,Training,11,100,89.68,54.89,194.2,38.99,23.86,84.44,86.1,122.387,1.421,58.73,0.93,1.18,Minor Effect,0.41,No Effect,441.65,21.21,47.14,31.38,0.36,5034000.0,97.39,105000.0,2.03,6000.0,0.12,12000.0,0.23,0.0,0.0,12000.0,0.23,,,,,,,,103.633,131.226,0.79
